"commune","time","nationality","age","value"
"Vienna 9th district, Alsergrund <909> ",2006,"Austria.","Up.to.14.years.old.","3,312"
"Vienna 9th district, Alsergrund <909> ",2007,"Austria.","Up.to.14.years.old.","3,258"
"Vienna 9th district, Alsergrund <909> ",2008,"Austria.","Up.to.14.years.old.","3,171"
"Vienna 9th district, Alsergrund <909> ",2009,"Austria.","Up.to.14.years.old.","3,074"
"Vienna 9th district, Alsergrund <909> ",2010,"Austria.","Up.to.14.years.old.","3,045"
"Vienna 9th district, Alsergrund <909> ",2011,"Austria.","Up.to.14.years.old.","3,015"
"Vienna 9th district, Alsergrund <909> ",2012,"Austria.","Up.to.14.years.old.","3,030"
"Vienna 9th district, Alsergrund <909> ",2013,"Austria.","Up.to.14.years.old.","2,998"
"Vienna 9th district, Alsergrund <909> ",2014,"Austria.","Up.to.14.years.old.","3,007"
"Vienna 9th district, Alsergrund <909> ",2015,"Austria.","Up.to.14.years.old.","2,997"
"Vienna 10th district, Favoriten <910> ",1971,"Austria.","Up.to.14.years.old.","27,312"
"Vienna 10th district, Favoriten <910> ",1981,"Austria.","Up.to.14.years.old.","18,951"
"Vienna 10th district, Favoriten <910> ",1991,"Austria.","Up.to.14.years.old.","16,056"
"Vienna 10th district, Favoriten <910> ",2001,"Austria.","Up.to.14.years.old.","17,482"
"Vienna 10th district, Favoriten <910> ",2002,"Austria.","Up.to.14.years.old.","17,730"
"Vienna 10th district, Favoriten <910> ",2003,"Austria.","Up.to.14.years.old.","18,223"
"Vienna 10th district, Favoriten <910> ",2004,"Austria.","Up.to.14.years.old.","18,796"
"Vienna 10th district, Favoriten <910> ",2005,"Austria.","Up.to.14.years.old.","19,528"
"Vienna 10th district, Favoriten <910> ",2006,"Austria.","Up.to.14.years.old.","19,833"
"Vienna 10th district, Favoriten <910> ",2007,"Austria.","Up.to.14.years.old.","20,195"
"Vienna 10th district, Favoriten <910> ",2008,"Austria.","Up.to.14.years.old.","20,087"
"Vienna 10th district, Favoriten <910> ",2009,"Austria.","Up.to.14.years.old.","20,014"
"Vienna 10th district, Favoriten <910> ",2010,"Austria.","Up.to.14.years.old.","19,925"
"Vienna 10th district, Favoriten <910> ",2011,"Austria.","Up.to.14.years.old.","19,839"
"Vienna 10th district, Favoriten <910> ",2012,"Austria.","Up.to.14.years.old.","19,566"
"Vienna 10th district, Favoriten <910> ",2013,"Austria.","Up.to.14.years.old.","19,384"
"Vienna 10th district, Favoriten <910> ",2014,"Austria.","Up.to.14.years.old.","19,424"
"Vienna 10th district, Favoriten <910> ",2015,"Austria.","Up.to.14.years.old.","19,476"
"Vienna 11th district, Simmering <911> ",1971,"Austria.","Up.to.14.years.old.","11,742"
"Vienna 11th district, Simmering <911> ",1981,"Austria.","Up.to.14.years.old.","11,325"
"Vienna 11th district, Simmering <911> ",1991,"Austria.","Up.to.14.years.old.","8,791"
"Vienna 11th district, Simmering <911> ",2001,"Austria.","Up.to.14.years.old.","10,884"
"Vienna 11th district, Simmering <911> ",2002,"Austria.","Up.to.14.years.old.","11,084"
"Vienna 11th district, Simmering <911> ",2003,"Austria.","Up.to.14.years.old.","11,431"
"Vienna 11th district, Simmering <911> ",2004,"Austria.","Up.to.14.years.old.","11,640"
"Vienna 11th district, Simmering <911> ",2005,"Austria.","Up.to.14.years.old.","11,851"
"Vienna 11th district, Simmering <911> ",2006,"Austria.","Up.to.14.years.old.","11,856"
"Vienna 11th district, Simmering <911> ",2007,"Austria.","Up.to.14.years.old.","11,640"
"Vienna 11th district, Simmering <911> ",2008,"Austria.","Up.to.14.years.old.","11,877"
"Vienna 11th district, Simmering <911> ",2009,"Austria.","Up.to.14.years.old.","11,951"
"Vienna 11th district, Simmering <911> ",2010,"Austria.","Up.to.14.years.old.","12,030"
"Vienna 11th district, Simmering <911> ",2011,"Austria.","Up.to.14.years.old.","12,006"
"Vienna 11th district, Simmering <911> ",2012,"Austria.","Up.to.14.years.old.","11,920"
"Vienna 11th district, Simmering <911> ",2013,"Austria.","Up.to.14.years.old.","11,824"
"Vienna 11th district, Simmering <911> ",2014,"Austria.","Up.to.14.years.old.","11,797"
"Vienna 11th district, Simmering <911> ",2015,"Austria.","Up.to.14.years.old.","11,875"
"Vienna 12th district, Meidling <912> ",1971,"Austria.","Up.to.14.years.old.","12,464"
"Vienna 12th district, Meidling <912> ",1981,"Austria.","Up.to.14.years.old.","10,172"
"Vienna 12th district, Meidling <912> ",1991,"Austria.","Up.to.14.years.old.","8,906"
"Vienna 12th district, Meidling <912> ",2001,"Austria.","Up.to.14.years.old.","9,324"
"Vienna 12th district, Meidling <912> ",2002,"Austria.","Up.to.14.years.old.","9,384"
"Vienna 12th district, Meidling <912> ",2003,"Austria.","Up.to.14.years.old.","9,726"
"Vienna 12th district, Meidling <912> ",2004,"Austria.","Up.to.14.years.old.","10,010"
"Vienna 12th district, Meidling <912> ",2005,"Austria.","Up.to.14.years.old.","10,203"
"Vienna 12th district, Meidling <912> ",2006,"Austria.","Up.to.14.years.old.","10,159"
"Vienna 12th district, Meidling <912> ",2007,"Austria.","Up.to.14.years.old.","10,243"
"Vienna 12th district, Meidling <912> ",2008,"Austria.","Up.to.14.years.old.","10,182"
"Vienna 12th district, Meidling <912> ",2009,"Austria.","Up.to.14.years.old.","10,143"
"Vienna 12th district, Meidling <912> ",2010,"Austria.","Up.to.14.years.old.","10,092"
"Vienna 12th district, Meidling <912> ",2011,"Austria.","Up.to.14.years.old.","10,027"
"Vienna 12th district, Meidling <912> ",2012,"Austria.","Up.to.14.years.old.","9,833"
"Vienna 12th district, Meidling <912> ",2013,"Austria.","Up.to.14.years.old.","9,712"
"Vienna 12th district, Meidling <912> ",2014,"Austria.","Up.to.14.years.old.","9,521"
"Vienna 12th district, Meidling <912> ",2015,"Austria.","Up.to.14.years.old.","9,477"
"Vienna 13th district, Hietzing <913> ",1971,"Austria.","Up.to.14.years.old.","8,077"
"Vienna 13th district, Hietzing <913> ",1981,"Austria.","Up.to.14.years.old.","6,721"
"Vienna 13th district, Hietzing <913> ",1991,"Austria.","Up.to.14.years.old.","5,910"
"Vienna 13th district, Hietzing <913> ",2001,"Austria.","Up.to.14.years.old.","5,877"
"Vienna 13th district, Hietzing <913> ",2002,"Austria.","Up.to.14.years.old.","5,913"
"Vienna 13th district, Hietzing <913> ",2003,"Austria.","Up.to.14.years.old.","5,919"
"Vienna 13th district, Hietzing <913> ",2004,"Austria.","Up.to.14.years.old.","5,908"
"Vienna 13th district, Hietzing <913> ",2005,"Austria.","Up.to.14.years.old.","5,916"
"Vienna 13th district, Hietzing <913> ",2006,"Austria.","Up.to.14.years.old.","5,859"
"Vienna 13th district, Hietzing <913> ",2007,"Austria.","Up.to.14.years.old.","5,854"
"Vienna 13th district, Hietzing <913> ",2008,"Austria.","Up.to.14.years.old.","5,810"
"Vienna 13th district, Hietzing <913> ",2009,"Austria.","Up.to.14.years.old.","5,748"
"Vienna 13th district, Hietzing <913> ",2010,"Austria.","Up.to.14.years.old.","5,752"
"Vienna 13th district, Hietzing <913> ",2011,"Austria.","Up.to.14.years.old.","5,712"
"Vienna 13th district, Hietzing <913> ",2012,"Austria.","Up.to.14.years.old.","5,629"
"Vienna 13th district, Hietzing <913> ",2013,"Austria.","Up.to.14.years.old.","5,597"
"Vienna 13th district, Hietzing <913> ",2014,"Austria.","Up.to.14.years.old.","5,616"
"Vienna 13th district, Hietzing <913> ",2015,"Austria.","Up.to.14.years.old.","5,652"
"Vienna 14th district, Penzing <914> ",1971,"Austria.","Up.to.14.years.old.","11,779"
"Vienna 14th district, Penzing <914> ",1981,"Austria.","Up.to.14.years.old.","9,998"
"Vienna 14th district, Penzing <914> ",1991,"Austria.","Up.to.14.years.old.","9,298"
"Vienna 14th district, Penzing <914> ",2001,"Austria.","Up.to.14.years.old.","9,087"
